&ANALYZE-SUSPEND
&ANALYZE-RESUME
&ELSE 
&ELSEIF 
&ENDIF 
&GLOBAL-DEFINE &GLOB
&IF 
&MESSAGE 
&SCOPED-DEFINE &SCOP
&THEN 
&UNDEFINE &UNDEF
&WEBSTREAM 
ABSOLUTE ABS
ABSTRACT 
ACCELERATOR 
ACCUM 
ACCUMULATE ACCUM
ACTIVE-FORM 
ACTIVE-WINDOW 
ADD 
ADD-BUFFER 
ADD-CALC-COLUMN 
ADD-COLUMNS-FROM 
ADD-EVENTS-PROCEDURE 
ADD-FIELDS-FROM 
ADD-FIRST 
ADD-INDEX-FIELD 
ADD-LAST 
ADD-LIKE-COLUMN 
ADD-LIKE-FIELD 
ADD-LIKE-INDEX 
ADD-NEW-FIELD 
ADD-NEW-INDEX 
ADD-SCHEMA-LOCATION 
ADD-SUPER-PROCEDURE 
ADM-DATA 
ADVISE 
ALERT-BOX 
ALIAS 
ALL 
ALLOW-COLUMN-SEARCHING 
ALLOW-REPLICATION 
ALTER 
ALWAYS-ON-TOP 
AMBIGUOUS AMBIG
ANALYZE ANALYZ
AND 
ANSI-ONLY 
ANY 
ANYWHERE 
APPEND 
APPL-ALERT-BOXES APPL-ALERT
APPL-CONTEXT-ID 
APPLICATION 
APPLY 
APPSERVER-INFO 
APPSERVER-PASSWORD 
APPSERVER-USERID 
ARRAY-MESSAGE 
AS 
ASC 
ASCENDING ASC
ASK-OVERWRITE 
ASSEMBLY 
ASSIGN 
ASYNCHRONOUS 
ASYNC-REQUEST-COUNT 
ASYNC-REQUEST-HANDLE 
AT 
ATTACHED-PAIRLIST 
ATTR-SPACE ATTR
AUDIT-CONTROL 
AUDIT-ENABLED 
AUDIT-EVENT-CONTEXT 
AUDIT-POLICY 
AUTHENTICATION-FAILED 
AUTHORIZATION 
AUTO-COMPLETION AUTO-COMP
AUTO-ENDKEY 
AUTO-END-KEY 
AUTO-GO 
AUTO-INDENT AUTO-IND
AUTOMATIC 
AUTO-RESIZE 
AUTO-RETURN AUTO-RET
AUTO-SYNCHRONIZE 
AUTO-ZAP AUTO-Z
AVAILABLE AVAIL
AVAILABLE-FORMATS 
AVERAGE AVE
AVG 
BACKGROUND BACK
BACKWARDS BACKWARD
BASE64-DECODE 
BASE64-ENCODE 
BASE-ADE 
BASE-KEY 
BATCH-MODE BATCH
BATCH-SIZE 
BEFORE-HIDE BEFORE-H
BEGIN-EVENT-GROUP 
BEGINS 
BELL 
BETWEEN 
BGCOLOR BGC
BIG-ENDIAN 
BINARY 
BIND 
BIND-WHERE 
BLANK 
BLOCK-ITERATION-DISPLAY 
BLOCK-LEVEL BLOCK-LEV
BORDER-BOTTOM-CHARS BORDER-B
BORDER-BOTTOM-PIXELS BORDER-BOTTOM-P
BORDER-LEFT-CHARS BORDER-L
BORDER-LEFT-PIXELS BORDER-LEFT-P
BORDER-RIGHT-CHARS BORDER-R
BORDER-RIGHT-PIXELS BORDER-RIGHT-P
BORDER-TOP-CHARS BORDER-T
BORDER-TOP-PIXELS BORDER-TOP-P
BOX 
BOX-SELECTABLE BOX-SELECT
BREAK 
BROWSE 
BUFFER 
BUFFER-CHARS 
BUFFER-COMPARE 
BUFFER-COPY 
BUFFER-CREATE 
BUFFER-DELETE 
BUFFER-FIELD 
BUFFER-HANDLE 
BUFFER-LINES 
BUFFER-NAME 
BUFFER-PARTITION-ID 
BUFFER-RELEASE 
BUFFER-VALUE 
BUTTON 
BUTTONS BUTTON
BY 
BY-POINTER 
BY-VARIANT-POINTER 
CACHE 
CACHE-SIZE 
CALL 
CALL-NAME 
CALL-TYPE 
CANCEL-BREAK 
CANCEL-BUTTON 
CAN-CREATE 
CAN-DELETE 
CAN-DO 
CAN-DO-DOMAIN-SUPPORT 
CAN-FIND 
CAN-QUERY 
CAN-READ 
CAN-SET 
CAN-WRITE 
CAPS 
CAREFUL-PAINT 
CASE 
CASE-SENSITIVE CASE-SEN
CAST 
CATCH 
CDECL 
CENTERED CENTER
CHAINED 
CHARACTER CHAR
CHARACTER_LENGTH 
CHARSET 
CHECK 
CHECKED 
CHOOSE 
CHR 
CLASS 
CLASS-TYPE 
CLEAR 
CLEAR-APPL-CONTEXT 
CLEAR-LOG 
CLEAR-SELECTION CLEAR-SELECT
CLEAR-SORT-ARROWS CLEAR-SORT-ARROW
CLIENT-CONNECTION-ID 
CLIENT-PRINCIPAL 
CLIENT-TTY 
CLIENT-TYPE 
CLIENT-WORKSTATION 
CLIPBOARD 
CLOSE 
CLOSE-LOG 
CODE 
CODEBASE-LOCATOR 
CODEPAGE 
CODEPAGE-CONVERT 
COLLATE 
COL-OF 
COLON 
COLON-ALIGNED COLON-ALIGN
COLOR 
COLOR-TABLE 
COLUMN COL
COLUMN-BGCOLOR 
COLUMN-DCOLOR 
COLUMN-FGCOLOR 
COLUMN-FONT 
COLUMN-LABEL COLUMN-LAB
COLUMN-MOVABLE 
COLUMN-OF 
COLUMN-PFCOLOR 
COLUMN-READ-ONLY 
COLUMN-RESIZABLE 
COLUMNS 
COLUMN-SCROLLING 
COMBO-BOX 
COM-HANDLE 
COMMAND 
COMPARES 
COMPILE 
COMPILER 
COMPLETE 
COM-SELF 
CONFIG-NAME 
CONNECT 
CONNECTED 
CONSTRUCTOR 
CONTAINS 
CONTENTS 
CONTEXT 
CONTEXT-HELP 
CONTEXT-HELP-FILE 
CONTEXT-HELP-ID 
CONTEXT-POPUP 
CONTROL 
CONTROL-BOX 
CONTROL-FRAME 
CONVERT 
CONVERT-3D-COLORS 
CONVERT-TO-OFFSET CONVERT-TO-OFFS
COPY-DATASET 
COPY-LOB 
COPY-SAX-ATTRIBUTES 
COPY-TEMP-TABLE 
COUNT 
COUNT-OF 
